Data,Produto,Local,Unidades (massa ou item),Preço total,Obs
09/07/2020,agua sanitaria,LaTorre,1,3.29,
09/07/2020,esponja,LaTorre,1,2.98,
09/07/2020,esponja,LaTorre,1,2.98,
09/07/2020,papel higienico,LaTorre,1,4.64,
09/07/2020,papel higienico,LaTorre,1,4.64,
09/07/2020,detergente,LaTorre,1,1.97,
09/07/2020,detergente,LaTorre,1,1.97,
09/07/2020,prendedor de roupa,LaTorre,1,1.55,
09/07/2020,prendedor de roupa,LaTorre,1,1.55,
09/07/2020,prendedor de roupa,LaTorre,1,4.35,
09/07/2020,calçado,LaTorre,1,9.69,
09/07/2020,saco p lixo,LaTorre,1,3.9,
09/07/2020,saco p lixo,LaTorre,1,4.34,
09/07/2020,pano,LaTorre,1,4.1,
09/07/2020,saco p lixo,LaTorre,1,3.9,
09/07/2020,pano,LaTorre,1,4.1,
09/07/2020,pano,LaTorre,1,10.98,
09/07/2020,flanela,LaTorre,2,3.15,
09/07/2020,flanela,LaTorre,1,3.15,
09/07/2020,tapete,LaTorre,1,11.76,
09/07/2020,lava roupas,LaTorre,2,18.88,
09/07/2020,condicionador,LaTorre,1,24.35,
09/07/2020,fita adesiva,LaTorre,1,4.98,
09/07/2020,fita crepe,LaTorre,1,4.25,
09/07/2020,sabonete,LaTorre,1,2.44,
09/07/2020,sabonete,LaTorre,1,7.35,
09/07/2020,sabonete,LaTorre,1,7.35,
09/07/2020,sabonete,LaTorre,1,2.45,
09/07/2020,sabonete,LaTorre,1,2.45,
09/07/2020,shampoo,LaTorre,1,14.9,
09/07/2020,sabonete,LaTorre,1,4.28,
09/07/2020,creme de leite,LaTorre,1,3.1,
09/07/2020,pacoca,LaTorre,1,5.97,
09/07/2020,fita adesiva,LaTorre,1,2.38,
09/07/2020,farinha de trigo,LaTorre,2,4.26,
09/07/2020,farinha de trigo,LaTorre,1,4.26,
09/07/2020,leite condensado,LaTorre,1,5.25,
09/07/2020,leite condensado,LaTorre,1,5.25,
09/07/2020,leite condensado,LaTorre,1,5.25,
09/07/2020,amendoas,LaTorre,1,12.35,
09/07/2020,creme de leite,LaTorre,1,3.1,
09/07/2020,creme de leite,LaTorre,1,3.1,
09/07/2020,fiambre,LaTorre,1,4.2,
09/07/2020,fiambre,LaTorre,1,4.76,
09/07/2020,fiambre,LaTorre,1,4.76,
09/07/2020,pimenta,LaTorre,1,5.58,
09/07/2020,maionese,LaTorre,1,6.38,
09/07/2020,creme dental,LaTorre,1,1.93,
09/07/2020,creme dental,LaTorre,1,1.93,
09/07/2020,café,LaTorre,1,5.35,
09/07/2020,café,LaTorre,1,5.35,
09/07/2020,uva passa,LaTorre,1,4.9,
09/07/2020,castanha,LaTorre,0.234,13.01,
09/07/2020,maionese,LaTorre,0.186,6.38,
09/07/2020,oleo de coco,LaTorre,1,15.65,
09/07/2020,oleo girassol,LaTorre,1,8.25,
09/07/2020,coca-cola café,LaTorre,1,1.99,
09/07/2020,coca-cola café,LaTorre,1,1.99,
09/07/2020,geleia de mocoto,LaTorre,1,11.34,
09/07/2020,pao de queijo,LaTorre,3,5.82,
09/07/2020,guardanapo,LaTorre,1,1.74,
09/07/2020,agua tonica,LaTorre,1,2.73,
09/07/2020,catchup,LaTorre,1,9.98,
09/07/2020,extrato de tomate,LaTorre,1,5.91,
09/07/2020,arroz,LaTorre,3,4.46,
09/07/2020,amido de milho,LaTorre,1,2.93,
09/07/2020,aveia,LaTorre,1,2.29,
09/07/2020,aveia,LaTorre,1,2.29,
09/07/2020,aveia,LaTorre,1,2.29,
09/07/2020,tapioca,LaTorre,1,7.87,
09/07/2020,polvilho,LaTorre,1,8.32,
09/07/2020,farinha de macaxeira,LaTorre,1,4.79,
09/07/2020,sal,LaTorre,1,1.65,
09/07/2020,flocao arroz,LaTorre,1,2.57,
09/07/2020,fuba,LaTorre,1,1.43,
09/07/2020,acucar,LaTorre,1,2.55,
09/07/2020,acucar,LaTorre,1,3.49,
09/07/2020,cuscuz,LaTorre,4,18.2,
09/07/2020,acucar,LaTorre,1,2.55,
09/07/2020,canela,LaTorre,1,3.55,
09/07/2020,azeite,LaTorre,1,20.98,
09/07/2020,cerveja,LaTorre,1,12.6,
09/07/2020,cerveja,LaTorre,1,3.34,
09/07/2020,cerveja,LaTorre,1,3.34,
09/07/2020,refri coca,LaTorre,2,13.98,
09/07/2020,batata,LaTorre,1.27,5.95,
09/07/2020,beterraba,LaTorre,0.6,2.39,
09/07/2020,melao,LaTorre,1.56,13.18,
09/07/2020,melancia,LaTorre,1.62,7.11,
09/07/2020,repolho,LaTorre,0.66,5,
09/07/2020,cenoura,LaTorre,0.505,1.5,
09/07/2020,limao,LaTorre,1.06,3.91,
09/07/2020,banana,LaTorre,1.45,5.06,
09/07/2020,maca,LaTorre,0.94,8.16,
09/07/2020,abacate,LaTorre,1.415,8.46,
09/07/2020,brocolis,LaTorre,1,4.68,
09/07/2020,sobrecocha de frango,LaTorre,1,11.58,
09/07/2020,file de peito de frango,LaTorre,1,13.98,
09/07/2020,macaxeira congelada,LaTorre,1,5.69,
09/07/2020,seleta congelada,LaTorre,1,4.98,
09/07/2020,ervilha congelada,LaTorre,1,5.53,
09/07/2020,sobrecocha de frango,LaTorre,1,11.58,
09/07/2020,manteiga,LaTorre,1,16.97,
09/07/2020,manteiga,LaTorre,1,19.46,
09/07/2020,cebolinha,LaTorre,1,1.95,
09/07/2020,macaxeira congelada,LaTorre,1,5.69,
09/07/2020,polpa de fruta,LaTorre,1,10.65,
09/07/2020,polpa de fruta,LaTorre,1,5.28,
09/07/2020,alface,LaTorre,1,2.55,
09/07/2020,coentro,LaTorre,1,1.97,
09/07/2020,rucula,LaTorre,1,1.97,
09/07/2020,agriao,LaTorre,2,5.78,
09/07/2020,mamao,LaTorre,1,13.55,
09/07/2020,doce caju,LaTorre,1,8.18,
09/07/2020,doce goiaba,LaTorre,1,4.39,
09/07/2020,biscoito,LaTorre,1,4.99,
09/07/2020,biscoito,LaTorre,1,3.63,
09/07/2020,biscoito,LaTorre,1,4.62,
09/07/2020,biscoito,LaTorre,1,4.62,
09/07/2020,palitos,LaTorre,1,0.65,
09/07/2020,cha,LaTorre,1,3.33,
09/07/2020,cha,LaTorre,1,3.66,
09/07/2020,cha,LaTorre,1,3.33,
09/07/2020,cha,LaTorre,1,2.95,
09/07/2020,queijo ralado,LaTorre,1,2.99,
09/07/2020,queijo ralado,LaTorre,1,2.99,
09/07/2020,queijo ralado,LaTorre,1,2.99,
09/07/2020,azeitona,LaTorre,1,4.28,
09/07/2020,miojo,LaTorre,1,2.99,
09/07/2020,miojo,LaTorre,1,2.99,
09/07/2020,miojo,LaTorre,1,2.99,
09/07/2020,miojo,LaTorre,1,2.99,
09/07/2020,amendoin,LaTorre,1,4.98,
09/07/2020,macarrao,LaTorre,1,3.84,
09/07/2020,macarrao,LaTorre,1,4.99,
09/07/2020,milho verde,LaTorre,1,2.63,
09/07/2020,milho verde,LaTorre,1,2.63,
09/07/2020,miojo,LaTorre,1,1.43,
09/07/2020,salgadinho,LaTorre,1,2.49,
09/07/2020,salgadinho,LaTorre,1,2.49,
09/07/2020,achocolatado,LaTorre,1,5.42,
09/07/2020,achocolatado,LaTorre,1,5.42,
09/07/2020,salgadinho,LaTorre,1,9.35,
09/07/2020,salgadinho,LaTorre,1,9.98,
09/07/2020,salgadinho,LaTorre,1,2.49,
09/07/2020,salgadinho,LaTorre,1,2.49,
09/07/2020,leite em po,LaTorre,1,19.98,
09/07/2020,salgadinho,LaTorre,1,6.38,
09/07/2020,ovos 12,LaTorre,1,12.78,
09/07/2020,ovos 12,LaTorre,1,12.78,
31/08/2020,queijo gorgonzola,BeMais,0.196,12.74,
31/08/2020,queijo buriti,BeMais,0.23,11.01,
31/08/2020,requeijao,BeMais,1,5.45,
31/08/2020,requeijao,BeMais,1,5.45,
31/08/2020,banana,BeMais,1.185,4.73,
31/08/2020,presunto de peru,BeMais,0.088,11.06,
31/08/2020,queijo buriti,BeMais,0.242,15.24,
31/08/2020,geleia de mocoto,BeMais,1,5.45,
31/08/2020,geleia de mocoto,BeMais,1,5.45,
31/08/2020,geleia de mocoto,BeMais,1,5.45,
31/08/2020,banana,BeMais,0.82,2.88,
31/08/2020,vinho tinto,BeMais,1,21.99,
31/08/2020,suco uva,BeMais,1,10.45,
31/08/2020,alface,BeMais,1,2.45,
31/08/2020,rucula,BeMais,1,1.99,
31/08/2020,salgadinho,BeMais,1,4.99,
31/08/2020,salgadinho,BeMais,1,4.99,
31/08/2020,salgadinho,BeMais,1,2.39,
11/09/2020,cerveja,BeMais,1,3.45,
11/09/2020,cerveja,BeMais,1,3.45,
11/09/2020,cerveja,BeMais,1,18.98,
11/09/2020,cerveja,BeMais,1,3.45,
11/09/2020,detergente,BeMais,1,14.49,
11/09/2020,melao,BeMais,1.785,15.33,
11/09/2020,desinfetante,BeMais,1,10.49,
11/09/2020,esponja,BeMais,1,3.89,
11/09/2020,barbeador,BeMais,1,10.93,
11/09/2020,maca,BeMais,0.545,4.35,
11/09/2020,extrato de tomate,BeMais,1,1.99,
11/09/2020,melancia,BeMais,2.245,12.77,
11/09/2020,pimentao,BeMais,1.0.340,8.43,
11/09/2020,cebola,BeMais,1.815,1.53,
11/09/2020,banana,BeMais,1,6.33,
11/09/2020,uva,BeMais,0.146,7.49,
11/09/2020,presunto de peru,BeMais,1,3.36,
11/09/2020,salgadinho,BeMais,1,1.49,
11/09/2020,salgadinho,BeMais,1,1.49,
11/09/2020,salgadinho,BeMais,1,1.49,
11/09/2020,salgadinho,BeMais,1,1.49,
11/09/2020,tomate,BeMais,0.65,2.59,
10/10/2020,coentro,BeMais,1,1.89,
10/10/2020,salsicha,BeMais,1.002,13.01,
10/10/2020,carne bovina,BeMais,1.135,34.04,
10/10/2020,manteiga,BeMais,1,18.99,
10/10/2020,coca-cola café,BeMais,1,1.99,
10/10/2020,coca-cola café,BeMais,1,1.99,
10/10/2020,tomate,BeMais,0.505,2.31,
10/10/2020,catchup,BeMais,1,8.45,
10/10/2020,isotonico,BeMais,1,3.79,
10/10/2020,isotonico,BeMais,1,3.79,
10/10/2020,isotonico,BeMais,1,3.79,
10/10/2020,isotonico,BeMais,1,3.79,
10/10/2020,beterraba,BeMais,0.42,1.65,
10/10/2020,macarrao,BeMais,1,4.69,
10/10/2020,limao,BeMais,0.56,3.35,
10/10/2020,batata,BeMais,1.36,5.43,
10/10/2020,amendoin,BeMais,1,4.96,
10/10/2020,cenoura,BeMais,0.5,2.05,
10/10/2020,amendoin,BeMais,1,4.96,
10/10/2020,cebola,BeMais,0.49,1.25,
10/10/2020,leite condensado,BeMais,1,5.45,
10/10/2020,leite condensado,BeMais,1,5.45,
10/10/2020,cha,BeMais,1,5.45,
10/10/2020,pacoca,BeMais,1,5.99,
10/10/2020,pacoca,BeMais,1,5.99,
10/10/2020,azeitona,BeMais,1,3.99,
10/10/2020,milho verde,BeMais,1,2.39,
10/10/2020,queijo ralado,BeMais,1,5.59,
10/10/2020,queijo ralado,BeMais,1,5.59,
10/10/2020,pao hotdog,BeMais,1,5.59,
10/10/2020,cha,BeMais,1,3.45,
10/10/2020,filtro de papel,BeMais,1,3.95,
10/10/2020,miojo,BeMais,1,1.35,
10/10/2020,miojo,BeMais,1,1.35,
10/10/2020,miojo,BeMais,1,1.35,
10/10/2020,miojo,BeMais,1,1.35,
10/10/2020,azeite,BeMais,1,38.98,
10/10/2020,pao hotdog,BeMais,1,5.59,
10/10/2020,ovos 12,BeMais,1,11.99,
10/10/2020,ovos 12,BeMais,1,11.99,
19/10/2020,macarrao,BeMais,1,4.69,
19/10/2020,macarrao,BeMais,1,4.49,
19/10/2020,extrato de tomate,BeMais,1,1.99,
19/10/2020,extrato de tomate,BeMais,1,1.99,
19/10/2020,extrato de tomate,BeMais,1,1.99,
19/10/2020,salgadinho,BeMais,1,3.99,
19/10/2020,algodao,BeMais,1,4.49,
19/10/2020,café,BeMais,1,4.29,
19/10/2020,café,BeMais,1,4.29,
19/10/2020,salgadinho,BeMais,1,1.59,
19/10/2020,amendoin,BeMais,1,13.09,
19/10/2020,salgadinho,BeMais,1,1.59,
19/10/2020,alcool 70,BeMais,1,7.49,
19/10/2020,alcool 70,BeMais,1,7.49,
19/10/2020,coca-cola café,BeMais,1,1.99,
19/10/2020,coca-cola café,BeMais,1,1.99,
19/10/2020,salgadinho,BeMais,1,1.59,
19/10/2020,salgadinho,BeMais,1,1.59,
19/10/2020,queijo ralado,BeMais,1,10.49,
19/10/2020,queijo ralado,BeMais,1,10.49,
19/10/2020,arroz,BeMais,1,4.99,
19/10/2020,cuscuz,BeMais,1,3.99,
19/10/2020,cuscuz,BeMais,1,3.99,
19/10/2020,acucar,BeMais,1,2.59,
19/10/2020,acucar,BeMais,1,2.59,
19/10/2020,miojo,BeMais,1,1.35,
19/10/2020,miojo,BeMais,1,1.35,
19/10/2020,biscoito,BeMais,1,4.69,
19/10/2020,biscoito,BeMais,1,3.89,
19/10/2020,miojo,BeMais,1,1.35,
19/10/2020,miojo,BeMais,1,1.35,
19/10/2020,miojo,BeMais,1,1.35,
19/10/2020,miojo,BeMais,1,1.35,
19/10/2020,ovos 12,BeMais,1,8.85,
19/10/2020,ovos 12,BeMais,1,8.85,
20/10/2020,calçado,Carrefour,1,17.99,
20/10/2020,roupa,Carrefour,1,35.99,
20/10/2020,bolsa,Carrefour,1,69.99,
20/10/2020,planta,Carrefour,1,11.99,
20/10/2020,calçado,Carrefour,1,59.99,
20/10/2020,roupa,Carrefour,1,79.99,
20/10/2020,roupa,Carrefour,1,22.99,
20/10/2020,roupa,Carrefour,1,15.99,
20/10/2020,roupa,Carrefour,1,35.99,
20/10/2020,roupa,Carrefour,1,19.99,
20/10/2020,roupa,Carrefour,1,29.99,
20/10/2020,roupa,Carrefour,1,29.99,
20/10/2020,roupa,Carrefour,1,19.99,
20/10/2020,roupa,Carrefour,1,19.99,
20/10/2020,roupa,Carrefour,1,49.99,
24/10/2020,salgadinho,BeMais,1,5.89,
24/10/2020,refri coca,BeMais,1,6.99,
24/10/2020,coxinha de frango,BeMais,1,22.59,
24/10/2020,hamburguer seara,BeMais,1,13.99,
24/10/2020,cremosinn,BeMais,1,9.49,
24/10/2020,polpa de fruta,BeMais,1,5.99,
24/10/2020,salgadinho,BeMais,1,1.59,
24/10/2020,salgadinho,BeMais,1,1.59,
24/10/2020,salgadinho,BeMais,1,1.59,
24/10/2020,salgadinho,BeMais,1,1.59,
24/10/2020,salgadinho,BeMais,1,1.59,
27/10/2020,peixe,LaTorre,1,22.9,
